Land;Stimmentyp;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE_LINKE;GRÜNE;CSU;Sonstige;dar_FREIE_WAEHLER;dar_BSW
SH;Erststimme;Summe;1991 – 2000;229847;679;39294;39561;44420;11456;28069;48113;;18255;3925;
SH;Erststimme;Summe;1981 – 1990;265343;1677;63626;43181;62677;10601;19364;44120;;20095;5246;
SH;Erststimme;Summe;1966 – 1980;468621;2836;142742;89359;94366;14576;23432;68664;;32645;8614;
SH;Erststimme;Summe;1956 – 1965;365649;2726;119056;94323;50961;9999;13425;54982;;20178;4323;
SH;Erststimme;Summe;1955 und früher;439804;5028;191246;133944;30314;14612;8206;43458;;12995;1642;
SH;Erststimme;m;Summe;912681;6018;285774;186540;180855;34936;48834;115964;;53761;12465;
SH;Erststimme;m;2001 – 2007;60122;358;11210;10899;13444;4182;7941;7729;;4359;792;
SH;Erststimme;m;1991 – 2000;116600;290;20341;18204;27748;6803;12136;20896;;10182;2335;
SH;Erststimme;m;1981 – 1990;131388;944;31848;18708;36787;5711;8228;20686;;8477;2449;
SH;Erststimme;m;1966 – 1980;229379;1175;72809;38834;56435;6474;9803;28414;;15434;4057;
SH;Erststimme;m;1956 – 1965;177797;903;62149;42088;30184;4890;6580;21627;;9375;2188;
SH;Erststimme;m;1955 und früher;197395;2348;87416;57808;16256;6876;4145;16611;;5934;644;
SH;Erststimme;w;Summe;977287;7721;287767;237945;121404;32605;66264;163334;;60246;12674;
SH;Erststimme;w;2001 – 2007;60582;435;6366;13217;6076;2115;14661;12232;;5481;597;
SH;Erststimme;w;1991 – 2000;113247;389;18954;21358;16672;4653;15932;27216;;8073;1590;
SH;Erststimme;w;1981 – 1990;133954;733;31778;24474;25890;4890;11136;23435;;11618;2797;
SH;Erststimme;w;1966 – 1980;239242;1661;69933;50526;37931;8102;13628;40250;;17211;4557;
SH;Erststimme;w;1956 – 1965;187852;1823;56907;52235;20777;5109;6845;33355;;10803;2136;
SH;Erststimme;w;1955 und früher;242410;2680;103830;76136;14058;7737;4061;26847;;7061;998;
SH;Zweitstimme;Summe;Summe;1889968;9963;518424;352546;306165;88147;146428;279923;;188372;13675;64777
SH;Zweitstimme;Summe;2001 – 2007;120704;403;13134;13904;20695;7296;33894;16130;;15249;1129;4852
SH;Zweitstimme;Summe;1991 – 2000;229847;482;31797;26796;45081;13556;38467;43209;;30460;2207;11366
SH;Zweitstimme;Summe;1981 – 1990;265343;742;54410;31363;64609;12114;22767;44571;;34766;3055;13144
SH;Zweitstimme;Summe;1966 – 1980;468621;2276;128715;72799;94086;18688;26267;74157;;51633;4467;18210
SH;Zweitstimme;Summe;1956 – 1965;365649;1913;111156;84338;51428;12840;14266;56110;;33598;2119;11063
SH;Zweitstimme;Summe;1955 und früher;439804;4148;179212;123346;30266;23654;10767;45746;;22666;700;6141
SH;Zweitstimme;m;Summe;912681;4056;257043;154755;186368;48674;60286;118537;;82961;6073;27983
SH;Zweitstimme;m;2001 – 2007;60122;161;8192;6561;14995;5121;11241;6965;;6885;380;1660
SH;Zweitstimme;m;1991 – 2000;116600;301;16119;12908;28660;8349;16043;19065;;15155;1258;5716
SH;Zweitstimme;m;1981 – 1990;131388;335;28008;13304;38725;6981;9522;20147;;14366;1251;4980
SH;Zweitstimme;m;1966 – 1980;229379;992;65842;31272;57149;9121;11164;31390;;22448;2102;7477
SH;Zweitstimme;m;1956 – 1965;177797;585;57805;37183;30553;6827;6799;23155;;14889;870;5450
SH;Zweitstimme;m;1955 und früher;197395;1681;81076;53527;16285;12274;5517;17816;;9218;212;2700
SH;Zweitstimme;w;Summe;977287;5907;261381;197791;119797;39473;86142;161386;;105411;7602;36794
SH;Zweitstimme;w;2001 – 2007;60582;242;4942;7343;5700;2175;22653;9164;;8363;749;3192
SH;Zweitstimme;w;1991 – 2000;113247;180;15677;13888;16421;5207;22424;24144;;15305;948;5650
SH;Zweitstimme;w;1981 – 1990;133954;407;26402;18059;25884;5132;13245;24425;;20400;1804;8164
SH;Zweitstimme;w;1966 – 1980;239242;1283;62873;41526;36938;9566;15103;42767;;29186;2365;10734
SH;Zweitstimme;w;1956 – 1965;187852;1327;53351;47156;20875;6012;7466;32955;;18710;1248;5613
SH;Zweitstimme;w;1955 und früher;242410;2467;98136;69819;13980;11380;5250;27930;;13448;488;3441
HH;Erststimme;Summe;Summe;1050805;8507;232067;292325;114714;35299;129995;214621;;23277;9714;
HH;Erststimme;Summe;2001 – 2007;68727;511;7911;16118;5394;3384;20295;13373;;1741;442;
HH;Erststimme;Summe;1991 – 2000;179824;770;21748;37646;14673;8589;39013;51417;;5968;2109;
HH;Erststimme;Summe;1981 – 1990;185884;839;33181;40073;22390;6378;26228;50470;;6325;2495;
HH;Erststimme;Summe;1966 – 1980;255215;2249;61221;64663;35636;6906;23319;55689;;5533;2514;
HH;Erststimme;Summe;1956 – 1965;165097;1405;40954;55733;22100;3508;12217;26764;;2416;1348;
HH;Erststimme;Summe;1955 und früher;196058;2734;67053;78091;14521;6534;8923;16909;;1295;805;
HH;Erststimme;m;Summe;493332;3913;117158;128599;66195;19209;55454;92666;;10136;3929;
HH;Erststimme;m;2001 – 2007;32312;252;4516;7389;3935;2263;7423;5715;;819;210;
HH;Erststimme;m;1991 – 2000;83846;505;12269;18119;9093;5099;15801;20465;;2495;871;
HH;Erststimme;m;1981 – 1990;90806;410;17284;18165;14113;3540;11861;22555;;2879;962;
HH;Erststimme;m;1966 – 1980;124326;928;31933;28416;20648;3650;10610;25790;;2351;968;
HH;Erststimme;m;1956 – 1965;78214;771;21104;25263;11479;1784;5412;11340;;1062;607;
HH;Erststimme;m;1955 und früher;83827;1048;30053;31247;6928;2873;4348;6800;;530;310;
HH;Erststimme;w;Summe;557473;4594;114909;163726;48519;16090;74541;121955;;13141;5785;
HH;Erststimme;w;2001 – 2007;36415;259;3395;8729;1458;1122;12872;7658;;922;232;
HH;Erststimme;w;1991 – 2000;95978;266;9479;19527;5580;3490;23212;30951;;3473;1238;
HH;Erststimme;w;1981 – 1990;95078;429;15897;21908;8278;2837;14367;27915;;3446;1533;
HH;Erststimme;w;1966 – 1980;130889;1320;29288;36247;14988;3256;12709;29898;;3182;1546;
HH;Erststimme;w;1956 – 1965;86883;634;19850;30470;10622;1724;6806;15424;;1353;741;
HH;Erststimme;w;1955 und früher;112231;1686;37000;46844;7593;3661;4575;10109;;765;495;
HH;Zweitstimme;Summe;Summe;1050805;5185;216935;237740;113608;47115;151115;201713;;77394;3866;41919
HH;Zweitstimme;Summe;2001 – 2007;68727;233;6803;9099;5268;4264;25594;10660;;6807;230;3516
HH;Zweitstimme;Summe;1991 – 2000;179824;331;19347;25850;15323;9211;48310;43138;;18315;895;8892
HH;Zweitstimme;Summe;1981 – 1990;185884;407;29812;31482;22065;8365;28270;47371;;18112;768;9211
HH;Zweitstimme;Summe;1966 – 1980;255215;1196;58867;52376;35098;9688;25211;54961;;17818;900;9849
HH;Zweitstimme;Summe;1956 – 1965;165097;901;38607;48224;21712;5817;13508;27347;;8980;629;5781
HH;Zweitstimme;Summe;1955 und früher;196058;2118;63499;70710;14143;9769;10222;18237;;7362;444;4670
HH;Zweitstimme;m;Summe;493332;1997;109532;103165;66570;26804;61563;89950;;33750;1661;19111
HH;Zweitstimme;m;2001 – 2007;32312;132;4224;4420;3739;2756;8404;5183;;3455;117;1882
HH;Zweitstimme;m;1991 – 2000;83846;167;11084;12369;9577;5609;18641;18403;;7998;427;3952
HH;Zweitstimme;m;1981 – 1990;90806;231;15415;14094;14027;4791;11959;22034;;8254;338;4208
HH;Zweitstimme;m;1966 – 1980;124326;342;30624;22668;20714;5609;11586;25372;;7412;341;4489
HH;Zweitstimme;m;1956 – 1965;78214;407;19666;21477;11531;3252;6300;11744;;3837;297;2660
HH;Zweitstimme;m;1955 und früher;83827;719;28519;28137;6981;4787;4674;7215;;2795;140;1920
HH;Zweitstimme;w;Summe;557473;3188;107403;134575;47038;20311;89552;111763;;43644;2205;22808
HH;Zweitstimme;w;2001 – 2007;36415;101;2579;4679;1529;1508;17190;5477;;3353;113;1634
HH;Zweitstimme;w;1991 – 2000;95978;164;8263;13481;5745;3603;29669;24735;;10317;468;4940
HH;Zweitstimme;w;1981 – 1990;95078;176;14396;17388;8037;3574;16312;25337;;9858;430;5003
HH;Zweitstimme;w;1966 – 1980;130889;854;28244;29708;14384;4079;13625;29588;;10406;559;5359
HH;Zweitstimme;w;1956 – 1965;86883;494;18941;26747;10181;2565;7208;15603;;5143;332;3121
HH;Zweitstimme;w;1955 und früher;112231;1399;34980;42572;7162;4982;5548;11022;;4567;304;2750
NI;Erststimme;Summe;Summe;5041312;36097;1558417;1469704;881225;148320;321569;487326;;138654;68432;
NI;Erststimme;Summe;2001 – 2007;348045;1268;55869;94632;62767;16656;67519;35796;;13538;5321;
NI;Erststimme;Summe;1991 – 2000;634698;2646;124652;155919;126678;22831;81628;90972;;29372;12262;
NI;Erststimme;Summe;1981 – 1990;733443;3820;195147;164075;179901;21996;52461;87392;;28652;13788;
NI;Erststimme;Summe;1966 – 1980;1221715;7202;388167;311612;267172;33301;60806;114903;;38552;21717;
NI;Erststimme;Summe;1956 – 1965;965374;7131;315643;317748;156253;22838;35114;90734;;19914;10641;
NI;Erststimme;Summe;1955 und früher;1138036;14029;478939;425719;88455;30698;24041;67529;;8626;4703;
NI;Erststimme;m;Summe;2463701;15532;783902;662489;522720;75271;133976;204762;;65049;31176;
NI;Erststimme;m;2001 – 2007;177664;986;35661;43122;42328;10704;22620;15364;;6881;2570;
NI;Erststimme;m;1991 – 2000;320278;1192;66996;70834;78216;13248;35218;39818;;14755;5990;
NI;Erststimme;m;1981 – 1990;366606;1795;99744;73240;106022;10930;23118;38705;;13050;5842;
NI;Erststimme;m;1966 – 1980;608419;3231;202202;138882;158692;15898;25209;46539;;17765;10039;
NI;Erststimme;m;1956 – 1965;472809;2901;160440;149283;88571;10063;15648;37127;;8776;4799;
NI;Erststimme;m;1955 und früher;517926;5427;218859;187128;48890;14428;12163;27210;;3821;1935;
NI;Erststimme;w;Summe;2577611;20565;774515;807215;358505;73049;187593;282564;;73605;37256;
NI;Erststimme;w;2001 – 2007;170382;283;20209;51511;20438;5952;44899;20433;;6657;2751;
NI;Erststimme;w;1991 – 2000;314420;1454;57656;85085;48462;9583;46410;51154;;14617;6272;
NI;Erststimme;w;1981 – 1990;366837;2024;95402;90834;73879;11066;29342;48687;;15601;7945;
NI;Erststimme;w;1966 – 1980;613297;3971;185965;172729;108480;17403;35597;68364;;20787;11678;
NI;Erststimme;w;1956 – 1965;492565;4231;155203;168465;67682;12775;19466;53607;;11138;5842;
NI;Erststimme;w;1955 und früher;620110;8603;260080;238591;39565;16270;11878;40319;;4805;2768;
NI;Zweitstimme;Summe;Summe;5041312;25976;1410418;1153523;894540;205163;405519;576845;;369328;37628;189376
NI;Zweitstimme;Summe;2001 – 2007;348045;977;41496;48832;63844;19951;99698;35552;;37694;2730;16945
NI;Zweitstimme;Summe;1991 – 2000;634698;1510;101166;90218;128645;29477;110020;94975;;78688;6135;37661
NI;Zweitstimme;Summe;1981 – 1990;733443;2240;168506;109593;185629;30008;59173;105095;;73199;7036;35220
NI;Zweitstimme;Summe;1966 – 1980;1221715;5155;351837;242105;271000;45459;68010;142808;;95341;11063;50057
NI;Zweitstimme;Summe;1956 – 1965;965374;4880;293710;273272;156067;32480;38952;112390;;53624;7624;30547
NI;Zweitstimme;Summe;1955 und früher;1138036;11214;453702;389503;89355;47789;29667;86025;;30782;3040;18946
NI;Zweitstimme;m;Summe;2463701;10904;712293;509122;538227;113053;162572;257088;;160441;18400;83042
NI;Zweitstimme;m;2001 – 2007;177664;574;26188;25342;43440;14093;31168;17776;;19084;1517;8298
NI;Zweitstimme;m;1991 – 2000;320278;798;53777;39509;81502;17607;45219;44608;;37258;3488;17419
NI;Zweitstimme;m;1981 – 1990;366606;1075;87399;46918;110976;16039;24806;47902;;31491;3631;14494
NI;Zweitstimme;m;1966 – 1980;608419;2193;185971;105916;163180;24375;27746;61296;;37741;5127;20176
NI;Zweitstimme;m;1956 – 1965;472809;2089;152446;124591;88477;16579;18412;48714;;21500;3213;13187
NI;Zweitstimme;m;1955 und früher;517926;4175;206511;166847;50653;24359;15221;36792;;13368;1423;9467
NI;Zweitstimme;w;Summe;2577611;15072;698125;644401;356313;92110;242947;319757;;208887;19228;106334
NI;Zweitstimme;w;2001 – 2007;170382;403;15308;23490;20404;5858;68531;17776;;18611;1213;8647
NI;Zweitstimme;w;1991 – 2000;314420;712;47389;50709;47142;11870;64801;50367;;41430;2647;20241
NI;Zweitstimme;w;1981 – 1990;366837;1164;81107;62676;74653;13969;34367;57193;;41708;3405;20726
NI;Zweitstimme;w;1966 – 1980;613297;2962;165866;136189;107821;21083;40263;81512;;57600;5936;29881
NI;Zweitstimme;w;1956 – 1965;492565;2791;141264;148680;67591;15901;20539;63676;;32124;4411;17360
NI;Zweitstimme;w;1955 und früher;620110;7039;247191;222657;38702;23430;14445;49232;;17414;1617;9479
HB;Erststimme;Summe;Summe;350366;3286;78673;95267;52638;9664;44408;53287;;13143;1758;
HB;Erststimme;Summe;2001 – 2007;23164;137;1929;4859;2598;941;8366;3264;;1070;125;
HB;Erststimme;Summe;1991 – 2000;49154;215;6011;9539;7386;1802;11982;9531;;2688;135;
HB;Erststimme;Summe;1981 – 1990;50155;439;9206;8929;10751;1296;7329;9163;;3041;479;
HB;Erststimme;Summe;1966 – 1980;78034;740;18088;19952;15079;1726;6899;12109;;3442;523;
