id;acc01;aff01;aff02;aff03;co01;co02;co03;co04;co05;co06;eva01;eva02;eva03;eva04;eva05;eva06;lim01;lim02;lim03;lim04;lim05;lim06;dem_split;dem_const;dem_func;dem_id;dem_const_a;dem_func_a;dem_id_a;dem_cat;dis01;dis02;dis03;dis04;dis05;dis06;dis07;ep01;ep05;ep06;ext04_a;ext05;ext06;ext07;ext08;ext_index_a;ext_cat;fair_split;fair01;fair02;fair03;fair04;fair05;fair06;fair07;fair08;fair09;fair10;fair11;fair12;fair13;fair14;fair15;unfair01;unfair02;unfair03;unfair04;unfair05;unfair06;unfair07;unfair08;unfair09;unfair10;unfair11;unfair12;unfair13;unfair14;unfair15;clec;freq;frse;gov01;gov02;gov03;gov04;gov05;gov06;gov07;gov08;pe01;pi01;pi02;pint;pop01;pop03;pop05;pop06;pop07;pop08;pop09;pop_index_a;pop_dum;post_reu_soc;pre_reu_soc;pp01_a;pp05_a;pp06;pp07;pt01;pt02;pt04;pt05;pt06;pt07;pt08;pt_index_a;rile;soc01;soc02;soc03;soc04;soc05;soc06;soc07;soc08;soc09;soc10;soctr01;soctr02;soctr03;soctr_index;stat01;stat02;sex;year_birth;age;age_num;age_gen;educ01;educ02;educ03;casmin;famstat;g_born;g_cit;hh_inc;hh_inc_equ;hh_size;hh_kids;prof;religion;bbsr;bik;eastwest;iltis;t_typ;townsize;a_weight;d_weight;weight_trunc;frame;tel_con
3347;2;1;-97;2;1;1;1;1;1;3;2;2;2;2;3;3;1;1;1;2;4;1;0;2;2;1;-97;-97;-97;3;2;2;2;2;2;2;1;4;4;2;5;4;4;4;4;5;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;5;2;3;2;2;2;5;2;3;1;-97;2;1;4;1;3;4;3;4;3,14286E+14;0;-97;1;3;3;3;1;3;3;2;3;-97;2;2;35;4;3;1;1;2;1;2;1;3;1;2;3;2;3;2,66667E+14;2;1;0;1952;5;71;2;4;-97;6;7;1;0;0;10;6;2;0;1;11;2;7;1;2;2;3;2,62886E+14;9,65553E+14;2,80833E+14;0;1
3348;2;5;-97;2;1;1;2;1;1;1;1;4;3;2;3;5;1;2;2;2;3;4;1;-97;-97;-97;5;5;4;-97;4;5;5;5;3;4;4;5;3;5;5;1;5;5;5;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;2;4;2;3;1;1;1;1;2;5;0;4;4;1;4;5;1;5;1;1;3,42857E+14;0;-97;1;3;3;2;2;5;5;5;4;1;5;5;1,16667E+14;5;4;2;2;3;1;3;1;3;1;4;5;1;5;1;3;5;0;1961;4;62;2;1;-97;3;1;6;0;0;1;1;1;-97;3;1;2;5;1;2;3;4;3,42665E+14;5,75841E+13;2,18311E+14;0;1
3349;1;1;-97;2;1;1;1;1;2;1;3;2;1;1;2;3;3;2;2;3;5;2;0;2;2;1;-97;-97;-97;3;1;3;3;1;1;3;3;3;2;2;5;5;3;5;5;5;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;3;3;3;3;2;2;3;2;3;0;2;2;2;4;1;2;4;3;5;3;0;-97;1;2;1;1;1;2;3;1;2;2;2;1;4,16667E+14;1;2;1;1;1;1;1;1;1;1;2;2;2;4;2,66667E+14;4;4;1;1976;3;47;3;3;-97;5;4;1;0;0;8;4;2;0;1;1;3;7;1;2;2;3;1,00747E+14;9,65553E+14;1,07624E+14;0;1
3350;2;2;-97;2;2;2;1;3;3;2;2;3;2;2;2;3;2;1;2;4;2;2;1;-97;-97;-97;2;2;1;-97;2;2;4;1;2;3;2;2;1;2;4;5;5;4;5;4;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;3;2;4;4;1;2;2;3;4;0;3;2;3;4;2;3;3;4;3;2,85714E+14;0;-97;1;1;1;1;1;4;4;2;3;3;3;2;3;4;1;2;2;1;1;1;1;2;1;3;4;3;3;2,66667E+14;2;4;1;1956;5;67;2;4;-97;7;8;1;0;0;6;3;2;0;10;11;2;9;1;3;5;3;2,61236E+14;9,65553E+14;2,7907E+14;0;1
3351;1;4;-97;3;1;1;1;1;1;3;1;1;1;3;1;3;5;1;1;5;3;1;0;2;4;1;-97;-97;-97;2;5;5;5;5;1;4;5;4;3;1;5;4;5;3;5;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;3;2;1;1;1;4;1;1;1;1;2;5;0;1;1;1;2;1;4;3;1;1;4,14286E+14;1;-97;1;3;3;2;2;5;3;3;3;2;4;2;2,66667E+14;-98;1;1;1;1;1;2;1;1;1;1;5;1;5;1;5;4;0;1961;4;62;2;3;-97;5;4;6;0;0;-99;-96;1;-97;1;1;2;7;1;2;2;2;6,66126E+14;5,75841E+13;4,24388E+14;1;1
3352;2;1;-97;1;2;1;1;1;1;3;2;5;5;5;3;3;3;1;5;5;5;2;1;-97;-97;-97;5;5;1;-97;5;4;3;2;5;3;4;5;5;3;5;3;5;4;1;5;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;2;1;1;4;3;4;1;2;1;1;4;5;0;4;1;1;4;1;1;1;1;1;4,57143E+14;1;-97;1;3;2;3;3;5;5;5;5;4;5;5;1;5;5;2;5;5;5;5;1;5;3;3;3;3;3;3;5;5;0;1974;3;49;3;4;-97;7;8;6;0;0;5;3;1;-97;1;1;4;5;1;2;2;3;5,51991E+14;1,68291E+14;1,07544E+14;0;1
3353;2;4;-97;2;1;1;1;1;1;1;1;5;5;5;3;1;2;1;5;5;5;5;0;4;4;4;-97;-97;-97;0;5;6;5;2;5;1;3;5;4;5;1;2;1;3;4;14;3;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;2;4;2;1;3;2;2;4;5;1;-97;5;1;4;1;5;2;5;1;3,28571E+14;0;-97;1;3;2;2;3;5;5;5;5;-97;5;5;1;7;5;1;1;1;1;5;5;5;1;1;5;1;5;1;5;5;0;1983;3;40;4;1;-97;3;1;1;0;0;5;2;3;1;9;2;3;5;1;2;2;3;4,61341E+13;4,10256E+14;2,09401E+13;0;1
3354;1;3;-97;-99;1;1;2;2;1;2;3;3;4;3;3;4;3;3;3;3;3;3;1;-97;-97;-97;3;4;2;-97;4;1;2;2;1;6;6;3;3;3;5;5;5;5;4;3;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;3;4;2;4;2;2;1;1;3;5;1;-97;3;5;5;1;3;5;4;3;2,28571E+14;0;-97;1;3;3;2;1;3;3;2;5;-97;4;5;2,33333E+14;5;4;3;4;3;1;3;3;3;1;1;3;2;3;2,66667E+14;-99;4;1;1961;4;62;2;2;-97;5;3;1;0;0;-99;-96;2;0;2;2;3;7;1;2;2;3;4,31118E+14;7,29741E+14;3,48071E+14;0;1
3355;2;3;-97;2;2;1;2;3;1;3;2;4;3;2;4;2;3;2;1;3;5;2;0;3;3;1;-97;-97;-97;1;3;2;2;3;3;3;2;5;3;2;4;4;5;4;3;5;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;1;3;2;4;2;2;2;1;1;4;0;-99;3;-99;4;1;4;4;4;4;25;0;-97;1;2;1;1;2;4;3;3;4;-97;4;4;2,33333E+14;6;3;2;2;3;2;4;2;3;1;1;3;1;4;2;4;4;0;1973;4;50;3;4;-97;5;7;6;0;0;6;4;1;-97;1;2;1;8;1;2;5;6;5,8198E+14;2,20253E+14;1,41818E+14;0;1
3356;1;1;-97;1;1;2;1;2;2;2;1;1;2;1;1;1;3;4;3;3;4;3;1;-97;-97;-97;1;4;1;-97;3;3;3;2;3;3;3;4;3;3;5;4;3;5;3;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;3;1;1;1;3;4;1;1;1;2;1;3;0;1;2;3;2;4;5;5;4;5;2;0;-97;1;2;3;1;1;3;2;1;3;2;2;1;4;7;1;1;2;1;2;1;1;2;2;1;3;2;4;2,33333E+14;2;3;0;1975;3;48;3;4;-97;8;8;6;0;0;10;5;3;1;1;1;1;8;1;3;5;6;5,8198E+14;9,65553E+14;6,2171E+14;0;1
