id;acc01;aff01;aff02;aff03;co01;co02;co03;co04;co05;co06;eva01;eva02;eva03;eva04;eva05;eva06;lim01;lim02;lim03;lim04;lim05;lim06;dem_split;dem_const;dem_func;dem_id;dem_const_a;dem_func_a;dem_id_a;dem_cat;dis01;dis02;dis03;dis04;dis05;dis06;dis07;ep01;ep05;ep06;ext04_a;ext05;ext06;ext07;ext08;ext_index_a;ext_cat;fair_split;fair01;fair02;fair03;fair04;fair05;fair06;fair07;fair08;fair09;fair10;fair11;fair12;fair13;fair14;fair15;unfair01;unfair02;unfair03;unfair04;unfair05;unfair06;unfair07;unfair08;unfair09;unfair10;unfair11;unfair12;unfair13;unfair14;unfair15;clec;freq;frse;gov01;gov02;gov03;gov04;gov05;gov06;gov07;gov08;pe01;pi01;pi02;pint;pop01;pop03;pop05;pop06;pop07;pop08;pop09;pop_index_a;pop_dum;post_reu_soc;pre_reu_soc;pp01_a;pp05_a;pp06;pp07;pt01;pt02;pt04;pt05;pt06;pt07;pt08;pt_index_a;rile;soc01;soc02;soc03;soc04;soc05;soc06;soc07;soc08;soc09;soc10;soctr01;soctr02;soctr03;soctr_index;stat01;stat02;sex;year_birth;age;age_num;age_gen;educ01;educ02;educ03;casmin;famstat;g_born;g_cit;hh_inc;hh_inc_equ;hh_size;hh_kids;prof;religion;bbsr;bik;eastwest;iltis;t_typ;townsize;a_weight;d_weight;weight_trunc;frame;tel_con
1;1;1;-97;1;1;1;1;1;1;1;1;3;3;2;1;1;3;2;2;2;4;2;1;-97;-97;-97;1;2;1;-97;2;1;1;1;2;1;1;4;3;2;5;5;5;5;5;3;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;2;2;3;3;2;1;2;2;4;0;3;1;1;4;3;4;3;3;4;2,85714E+14;0;-97;1;2;3;2;1;2;2;1;3;2;2;2;4;3;2;1;1;1;1;1;1;2;1;2;2;2;3;3;2;2;1;1949;5;74;1;4;-97;8;8;4;0;0;6;4;1;-97;10;11;2;4;1;2;5;4;4,20853E+14;5,75841E+13;2,68125E+14;0;1
2;1;2;-97;1;1;1;1;1;1;1;3;3;3;2;1;1;5;5;2;3;3;5;1;-97;-97;-97;1;2;1;-97;1;1;1;1;1;1;1;4;2;2;5;4;5;5;5;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;2;3;2;2;1;1;1;2;2;3;1;-97;3;1;4;3;4;2;1;4;3,28571E+14;0;-97;1;3;3;2;2;4;4;1;4;-97;2;5;2,66667E+14;7;3;1;1;1;1;1;2;1;1;1;4;1;3;2;3;4;0;1979;3;44;3;-96;-97;5;-96;6;0;0;8;4;2;0;1;2;1;10;1;1;5;7;6,58002E+14;2,9872E+13;2,17468E+14;1;3
3;1;2;-97;2;1;2;1;1;2;3;3;2;2;2;2;2;4;3;1;3;3;2;1;-97;-97;-97;1;1;1;-97;1;1;1;1;3;3;1;3;3;3;5;5;5;4;4;3;1;0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;2;2;2;2;2;2;1;1;5;1;3;0;3;2;2;4;2;3;3;4;3;3;0;-97;1;3;2;2;1;3;2;2;2;2;2;2;3,83333E+14;4;2;3;1;1;2;2;1;2;3;2;2;3;3;3,33333E+14;4;4;0;1956;5;67;2;3;-97;5;4;2;0;0;3;2;1;-97;10;11;2;5;1;3;5;2;4,34359E+14;5,75841E+13;2,76729E+14;0;1
4;1;2;-97;2;2;2;2;3;3;2;1;2;1;2;3;2;3;5;2;2;1;4;0;3;3;2;-97;-97;-97;1;3;2;2;1;2;3;3;2;2;3;2;3;4;5;1;9;2;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;3;2;3;3;2;2;2;3;3;0;-98;2;1;3;1;4;2;4;2;3,57143E+14;0;-97;1;3;3;2;1;3;3;2;4;-97;4;3;2,83333E+14;4;3;2;1;1;2;4;1;3;1;2;3;3;4;2,66667E+14;4;2;0;1958;4;65;2;3;-97;5;4;6;0;0;3;2;1;-97;10;1;2;8;1;3;3;5;3,1229E+14;5,75841E+13;1,9896E+14;0;1
5;2;1;-97;2;1;1;1;1;1;1;2;4;4;3;3;3;5;5;5;5;5;4;1;-97;-97;-97;1;4;1;-97;6;6;3;-99;6;1;6;4;3;3;5;1;5;5;2;7;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;1;4;2;3;2;2;1;2;4;5;0;-99;2;1;4;3;-98;-99;1;-99;-96;-96;-97;3;-98;-98;1;-98;5;4;3;3;-97;5;5;1,83333E+14;5;1;1;1;-98;1;-99;1;-99;1;1;4;2;4;2;5;1;1;1965;4;58;3;4;-97;5;7;4;1;1;3;2;2;0;1;1;2;9;1;3;3;3;5,57227E+14;9,65553E+14;5,95267E+14;0;1
6;2;3;-97;5;1;1;3;3;1;4;3;1;2;-98;2;2;3;-98;1;2;-98;1;0;3;3;1;-97;-97;-97;1;2;3;1;2;2;6;6;3;2;3;5;1;5;4;1;7;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;2;3;3;2;1;-98;1;1;2;5;0;4;5;2;3;1;2;3;1;2;4;1;-97;3;3;3;3;2;4;5;3;3;2;3;3;25;5;2;2;1;2;1;2;1;-98;1;1;2;1;3;2,66667E+14;1;1;1;1977;3;46;3;4;-97;8;8;1;1;1;8;3;4;2;2;1;2;7;1;3;3;3;8,04386E+13;2,9872E+13;2,65847E+14;1;3
7;1;2;-97;2;1;2;1;1;2;2;2;1;1;1;2;1;-98;3;1;3;3;3;1;-97;-97;-97;1;2;1;-97;1;1;1;2;2;3;1;3;3;4;2;5;5;5;2;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;3;1;1;3;3;1;2;2;1;3;0;3;2;2;2;3;4;5;3;4;2,71429E+14;0;-97;1;3;3;2;2;3;2;1;3;3;1;1;4,16667E+14;4;2;1;1;2;1;1;1;1;2;2;2;3;2;3,66667E+14;2;4;0;1982;3;41;4;3;-97;5;4;6;0;0;-98;-96;2;0;1;2;1;8;1;3;5;6;1,03876E+13;9,65553E+14;1,10967E+12;1;1
8;2;2;-97;2;4;1;2;2;2;2;1;1;2;1;1;2;2;3;1;3;2;2;0;2;2;1;-97;-97;-97;3;2;3;3;2;4;4;4;3;2;2;5;5;5;4;5;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;1;3;2;4;5;1;2;5;5;2;1;-97;2;1;3;2;4;5;5;4;2,57143E+14;0;-97;1;3;1;1;1;2;2;2;2;-97;2;3;3,83333E+14;1;3;2;1;2;2;1;1;3;2;3;2;2;3;3;2;5;0;1952;5;71;2;4;-97;8;8;3;0;0;9;4;2;0;10;11;2;8;1;3;3;5;2,4934E+14;7,29741E+14;2,01309E+13;1;1
9;2;2;2;-97;1;1;2;5;1;4;2;2;2;2;4;2;5;3;1;1;5;1;1;-97;-97;-97;4;4;1;-97;1;1;1;1;1;1;1;3;3;2;5;1;5;3;3;7;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;2;3;2;2;2;1;2;2;2;5;0;1;2;1;3;1;1;1;1;3;4,42857E+14;1;-97;2;3;3;1;1;4;1;1;3;1;3;4;3,33333E+14;5;3;1;1;1;1;1;3;3;1;1;3;3;3;3;2;3;0;1958;4;65;2;3;-97;5;4;1;0;0;4;2;3;0;10;5;1;10;0;3;5;7;3,49315E+14;1,24682E+13;4,81865E+14;0;1
10;2;2;-97;2;1;1;2;2;1;2;1;1;1;1;2;1;3;4;1;1;2;3;1;-97;-97;-97;2;4;1;-97;3;3;5;3;5;2;5;3;2;2;5;4;4;2;3;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;1;2;3;3;2;2;2;2;2;3;1;-97;3;1;2;1;3;3;1;5;3,71429E+14;0;-97;1;3;3;3;1;3;3;1;3;-97;1;3;3,66667E+14;5;3;2;1;1;1;2;1;3;1;1;3;3;3;3;3;4;0;1935;5;88;1;4;-97;9;9;1;0;0;-99;-96;2;0;10;2;3;5;1;2;2;4;2,61715E+14;9,65553E+14;2,79581E+14;0;1
11;1;1;-97;1;3;1;1;1;1;1;1;1;3;1;1;3;5;5;1;1;5;1;1;-97;-97;-97;1;1;1;-97;1;3;1;1;1;1;1;3;2;2;5;5;5;5;5;3;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;3;1;1;1;1;4;1;1;1;2;1;1;0;1;1;1;1;1;5;5;1;5;3,28571E+14;0;-97;1;1;2;1;1;2;1;1;2;1;1;3;4,33333E+14;5;1;1;1;1;1;5;1;5;1;1;3;5;5;3;3;5;0;1959;4;64;2;3;-97;6;4;1;0;0;-99;-96;3;0;14;2;3;7;1;2;2;3;7,02317E+14;1,24682E+13;9,68817E+14;0;1
12;2;2;1;-97;1;2;1;3;1;3;3;5;5;3;-98;3;1;-98;2;1;-98;1;0;2;2;1;-97;-97;-97;3;2;2;1;1;3;2;1;4;-98;2;5;2;-98;1;4;-96;-96;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;2;-98;2;-98;1;1;1;1;5;-98;1;-97;2;2;-98;3;-98;1;2;2;-96;-96;-97;2;3;2;2;2;4;3;-98;5;-97;2;5;22;7;3;2;1;1;2;2;1;2;1;2;2;3;3;3,33333E+14;3;3;1;1938;5;85;1;3;-97;5;4;4;0;0;4;3;1;-97;10;11;1;10;0;3;5;7;5,09037E+14;5,75841E+13;3,24307E+13;0;1
13;1;1;-97;1;1;1;1;1;1;1;1;1;1;1;2;3;4;5;1;5;5;5;0;1;1;1;-97;-97;-97;3;1;1;5;1;1;5;5;2;2;2;5;5;5;5;5;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;1;2;3;3;3;2;1;3;4;3;0;3;1;1;2;5;5;5;5;4;2,14286E+14;0;-97;1;3;1;1;1;1;2;1;1;1;2;1;4,66667E+14;3;1;1;1;1;1;1;1;1;1;3;2;4;3;3,66667E+14;3;5;1;1972;4;51;3;4;-97;8;8;1;0;0;10;5;3;1;1;11;1;10;1;2;5;7;9,31689E+14;9,65553E+14;9,95292E+14;0;1
14;1;3;-97;3;1;1;1;1;2;1;1;1;1;1;2;1;5;5;1;5;2;4;0;2;2;1;-97;-97;-97;3;3;2;4;2;2;5;4;2;2;1;5;5;5;5;5;3;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;2;1;3;2;3;3;1;1;3;2;2;0;2;2;5;5;5;5;5;5;3;1,28571E+14;0;-97;1;2;3;1;1;2;2;1;2;1;2;1;4,33333E+14;4;2;2;2;1;1;1;3;2;1;3;1;4;4;3,66667E+14;2;5;0;1958;4;65;2;4;-97;8;8;1;0;0;9;4;2;0;1;1;1;8;1;2;5;6;2,4934E+14;9,65553E+14;2,66361E+12;0;1
15;1;3;-97;3;1;1;1;2;1;2;1;1;2;2;3;3;1;1;2;2;4;1;1;-97;-97;-97;1;2;2;-97;1;1;3;1;6;3;2;4;4;3;5;1;4;3;2;8;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;3;1;1;2;2;3;1;2;2;1;2;5;1;-97;3;1;2;1;4;5;1;1;3,85714E+14;0;-97;1;3;3;1;1;3;2;1;2;-97;3;2;3,83333E+14;5;4;1;2;1;1;1;1;3;2;2;4;2;4;2;2;3;0;1938;5;85;1;2;-97;5;3;4;0;0;5;3;1;-97;10;2;2;3;1;2;1;3;2,03391E+14;3,56633E+14;8,0252E+14;0;2
16;1;2;-97;2;2;2;1;3;1;1;1;2;2;1;3;4;1;4;1;4;3;4;0;2;2;1;-97;-97;-97;3;2;5;1;1;2;2;1;2;2;2;4;4;4;5;2;6;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;3;3;5;2;3;5;2;2;5;2;4;1;-97;2;1;2;2;1;3;1;2;4,28571E+14;1;-97;2;3;3;1;2;4;3;3;3;-97;4;2;2,83333E+14;5;1;2;3;2;1;1;1;4;1;3;3;3;5;2,33333E+14;4;2;0;1967;4;56;3;3;-97;5;4;6;0;0;7;3;2;0;1;11;2;9;1;3;3;3;4,78924E+14;7,29741E+14;3,86668E+14;0;1
17;2;3;-97;3;1;1;2;4;1;4;1;1;1;1;4;2;1;1;1;1;5;1;1;-97;-97;-97;2;4;1;-97;4;2;4;4;5;4;2;4;3;3;4;3;5;1;1;6;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;3;2;3;2;2;2;2;2;5;1;-97;3;1;3;1;1;1;1;1;4,71429E+14;1;-97;1;3;1;2;2;5;3;3;5;-97;5;5;1,66667E+14;4;4;1;1;1;3;3;1;3;1;1;3;3;4;2,66667E+14;3;1;0;1951;5;72;2;2;-97;5;3;1;0;0;3;2;2;0;10;2;4;5;1;1;1;1;2,35105E+14;9,65553E+14;2,51155E+14;0;1
18;2;4;-97;4;1;1;1;3;1;1;1;3;3;1;3;1;1;1;4;2;3;3;0;2;3;2;-97;-97;-97;2;2;2;2;2;2;2;2;5;5;2;3;1;3;2;4;11;2;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;3;2;2;1;2;2;3;2;4;1;-97;3;1;4;1;3;2;2;3;3,71429E+14;0;-97;1;3;2;2;2;5;4;3;4;-97;4;5;1,83333E+14;5;3;3;3;3;3;3;3;4;2;2;4;3;5;2;5;2;0;1962;4;61;2;3;-97;5;4;1;0;0;7;3;2;0;1;11;1;10;1;1;5;7;7,71549E+14;4,10256E+14;3,50204E+14;0;1
19;1;3;-97;2;1;1;1;2;2;2;1;1;1;1;3;3;5;2;4;3;3;3;0;2;2;1;-97;-97;-97;3;2;1;3;2;2;2;6;3;3;3;5;5;5;3;3;3;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;2;2;2;5;3;2;1;1;2;1;3;0;2;2;2;3;2;4;5;2;4;2,85714E+14;0;-97;1;3;3;1;2;3;3;2;3;2;3;2;3,33333E+14;4;1;1;1;1;1;1;1;1;1;1;2;4;3;3,66667E+14;3;5;0;1960;4;63;2;3;-97;5;4;1;0;0;7;3;2;0;1;2;2;6;1;2;4;4;7,71549E+14;9,65553E+14;8,2422E+14;0;1
20;1;2;-97;2;1;1;1;3;3;2;3;4;4;3;1;2;3;3;3;1;3;3;0;2;3;1;-97;-97;-97;2;5;5;1;5;5;4;6;5;5;4;4;4;1;5;1;9;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;3;4;2;3;2;1;1;1;2;4;1;-97;4;1;3;1;4;1;1;3;4;1;-97;1;3;3;1;3;5;5;4;4;-97;5;5;1,33333E+14;5;5;1;1;1;3;3;3;5;1;1;4;1;4;1,66667E+14;5;1;0;1948;5;75;1;2;-97;5;3;5;0;0;2;2;1;-97;10;11;1;10;1;3;5;7;2,23441E+14;5,75841E+13;1,42354E+13;0;1
21;2;1;-97;1;1;1;1;1;1;1;2;2;3;3;3;3;3;3;1;1;1;1;0;2;3;1;-97;-97;-97;2;1;1;1;1;3;3;1;3;3;3;5;5;5;5;5;3;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;3;1;-97;3;1;4;1;5;2;3;3;3,28571E+14;0;-97;1;3;3;2;2;3;3;2;4;-97;3;3;3;7;2;1;1;1;1;1;1;1;1;1;4;3;3;2,66667E+14;4;3;1;1955;5;68;2;3;-97;5;4;6;0;0;3;2;1;-97;10;11;4;4;1;2;2;2;6,32967E+14;5,75841E+13;4,03262E+14;0;1
22;1;1;1;-97;1;1;1;1;2;1;1;2;1;2;1;2;2;4;2;4;4;2;1;-97;-97;-97;1;2;1;-97;2;1;2;1;2;1;2;3;3;2;5;5;5;5;3;3;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;3;2;1;2;1;3;0;3;1;2;5;4;5;5;4;5;1,71429E+14;0;-97;1;1;1;1;1;2;3;1;2;2;2;2;4;3;1;1;1;1;2;2;1;3;1;2;3;3;4;2,66667E+14;1;5;0;1961;4;62;2;4;-97;8;8;1;0;0;8;4;2;0;10;11;4;6;0;1;1;5;3,26511E+14;5,75841E+13;2,0802E+14;0;1
23;1;3;-97;4;2;2;1;1;3;1;1;3;3;3;2;2;4;1;2;5;1;5;0;3;3;1;-97;-97;-97;1;1;1;3;1;2;2;3;2;2;1;5;5;5;5;5;3;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;2;1;1;2;2;2;1;1;3;4;4;0;6;2;2;3;4;3;3;4;2;3;0;3;-97;1;1;1;1;5;4;3;3;2;3;3;25;0;1;1;1;1;2;2;5;1;1;3;1;4;2;4,33333E+14;3;3;1;1989;2;34;4;4;-97;8;8;1;1;1;10;6;2;0;1;11;1;10;1;2;5;6;9,20829E+14;7,29741E+14;7,43448E+14;1;1
24;1;1;-97;3;1;1;1;1;2;1;1;1;1;1;1;1;5;2;1;5;3;1;1;-97;-97;-97;1;1;1;-97;1;1;1;1;1;2;2;3;3;3;5;2;5;3;5;6;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;3;2;3;1;2;2;3;1;-97;3;1;4;3;4;4;2;3;3;0;2;-97;2;3;3;2;1;2;1;1;-97;2;3;4,33333E+14;0;1;2;2;1;1;1;1;2;1;1;3;2;3;2,66667E+14;3;2;1;2002;1;21;5;4;-97;2;6;6;1;1;7;2;4;1;7;3;1;10;1;2;5;6;1,03638E+14;1,24682E+13;1,42964E+14;1;1
25;1;1;1;-97;1;1;1;2;1;4;1;2;1;1;2;4;1;3;5;1;3;1;0;2;2;1;-97;-97;-97;3;2;2;2;3;2;2;1;4;5;3;5;5;5;4;5;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;2;1;2;5;1;5;1;1;1;1;5;4;0;-99;2;2;5;3;4;5;4;5;2;0;-97;2;3;3;2;3;4;2;1;2;-97;2;2;3,83333E+14;5;4;1;1;2;2;1;2;3;1;1;4;3;5;2;4;4;1;1976;3;47;3;4;-97;8;8;1;0;0;9;3;4;2;2;11;4;4;0;1;4;3;6,23339E+14;4,10256E+14;2,82932E+14;0;1
26;2;4;-97;4;1;1;1;1;1;1;2;4;2;3;3;3;1;3;3;4;5;4;0;2;2;2;-97;-97;-97;3;4;2;4;2;4;3;4;4;3;2;5;4;5;5;4;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;2;2;2;3;2;2;2;2;3;5;1;-97;5;1;4;1;2;3;2;1;4;1;-97;1;3;3;1;3;2;2;2;3;-97;3;3;35;8;3;4;1;1;1;1;3;3;3;4;4;4;3;3;4;4;0;1961;4;62;2;2;-97;5;3;1;0;0;7;3;2;0;1;2;4;3;1;2;4;3;3,60554E+14;9,65553E+14;3,85168E+14;0;1
27;2;-98;-97;1;1;3;3;3;1;4;3;3;3;1;1;3;5;-98;1;-98;4;2;1;-97;-97;-97;2;-98;3;-97;5;2;1;2;5;6;5;2;1;1;4;1;5;3;4;8;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;3;-98;2;1;-98;-98;-98;-98;2;2;2;2;1;-97;3;3;4;3;4;-98;5;4;2,16667E+14;0;-97;2;3;3;1;3;3;2;-98;5;-97;-98;2;-96;5;1;3;2;3;1;1;3;2;1;1;3;4;3;3,33333E+14;3;5;1;1935;5;88;1;3;-97;5;4;4;0;0;-99;-96;1;-97;10;2;2;10;1;3;5;5;6,67356E+14;5,75841E+13;4,25171E+14;0;1
28;1;2;-97;2;2;1;1;1;2;3;2;1;3;2;2;3;4;4;1;4;3;2;0;2;2;1;-97;-97;-97;3;2;2;1;4;3;3;3;3;3;2;4;5;5;4;5;4;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;3;3;2;1;2;2;4;0;3;3;1;4;3;5;4;4;3;2,57143E+14;0;1;-97;3;2;1;2;3;3;1;4;3;2;1;3,66667E+14;3;1;3;2;1;1;1;4;1;1;2;2;1;4;2,33333E+14;2;4;0;1989;2;34;4;4;-97;6;7;6;0;0;9;3;3;0;1;1;2;4;1;2;3;3;8,54813E+14;5,75841E+13;5,446E+14;0;1
29;1;2;-97;2;1;1;1;1;1;2;1;1;2;1;2;1;1;1;1;2;3;2;1;-97;-97;-97;2;2;1;-97;2;2;3;2;2;3;2;2;2;1;5;5;5;5;5;3;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;3;3;1;1;2;4;4;0;3;2;1;3;3;5;2;1;5;3,14286E+14;0;-97;1;3;3;2;1;2;2;1;3;2;3;1;4;3;1;1;1;1;1;2;1;1;1;2;2;2;2;3,33333E+14;2;5;0;1957;5;66;2;4;-97;8;8;1;0;0;8;4;2;0;2;11;2;7;1;1;4;3;3,99493E+14;4,82818E+14;2,13401E+14;0;1
30;1;2;-97;2;1;2;1;1;1;2;2;2;3;1;3;3;4;4;3;3;4;2;0;2;2;1;-97;-97;-97;3;2;3;3;3;2;2;3;2;2;2;5;5;5;4;2;3;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;1;1;2;3;3;3;2;2;2;3;1;3;1;-97;2;2;4;3;4;4;1;4;2,85714E+14;0;-97;1;2;3;2;2;2;2;1;2;-97;2;2;4,16667E+14;4;1;2;4;3;2;2;2;2;1;3;4;2;2;2,66667E+14;4;4;0;1975;3;48;3;4;-97;5;7;1;0;0;7;3;3;1;1;2;2;7;1;1;3;3;5,79388E+14;3,6075E+14;2,31249E+14;0;1
31;-98;1;-97;1;1;1;1;2;2;4;3;3;2;3;1;3;5;1;1;1;1;1;0;3;2;1;-97;-97;-97;-96;1;1;1;1;1;2;1;-98;3;2;5;3;1;5;4;9;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;1;1;1;2;2;1;1;1;1;1;4;1;-97;1;1;1;1;4;1;4;1;4,14286E+14;1;-97;1;3;3;2;2;4;4;4;4;-97;4;1;25;5;1;1;1;1;1;1;1;1;3;1;5;5;5;2,33333E+14;4;1;1;1952;5;71;2;2;-97;5;3;5;0;0;-98;-96;2;0;10;2;2;8;1;1;5;6;3,25607E+14;1,42653E+14;4,29397E+14;0;2
32;2;4;-97;5;1;3;1;3;1;2;3;2;4;2;3;3;5;3;1;4;5;3;1;-97;-97;-97;3;5;3;-97;6;2;2;2;2;5;2;5;4;3;5;1;5;5;3;7;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;2;2;3;2;3;3;2;2;2;3;5;1;-97;5;1;1;1;1;1;4;1;4,57143E+14;1;1;-97;3;2;2;2;5;3;3;5;-97;5;5;1,66667E+14;5;3;1;3;1;1;3;5;3;1;1;4;2;4;2;4;3;1;1992;2;31;4;3;-97;5;4;2;1;0;7;3;3;2;1;5;4;4;1;2;2;3;1,34699E+14;9,95732E+12;1,48392E+14;1;3
33;2;1;-97;2;2;1;1;3;1;2;3;3;1;3;2;2;5;3;1;4;4;3;1;-97;-97;-97;2;2;1;-97;1;1;1;1;1;3;1;3;3;2;5;5;5;4;4;3;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1;2;1;2;2;3;2;2;1;2;2;3;1;-97;1;3;4;4;5;4;4;4;2;0;-97;2;2;3;1;1;2;1;1;2;-97;4;1;4,16667E+14;4;1;1;1;1;1;1;1;1;1;1;2;4;3;3,66667E+14;3;3;1;1952;5;71;2;4;-97;9;9;1;0;0;4;2;2;0;10;2;2;8;1;1;5;6;5,82159E+14;9,65553E+14;6,21901E+13;0;1
34;1;2;-97;2;1;1;1;2;2;1;3;3;3;1;2;1;1;1;1;3;2;5;0;2;3;1;-97;-97;-97;2;2;1;1;1;3;2;1;4;3;3;5;5;5;5;4;3;1;1;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;-98;3;3;1;4;2;1;1;2;4;5;0;-98;1;1;3;1;3;3;1;3;3,85714E+14;0;-97;1;2;2;1;1;4;3;2;4;-97;4;4;25;6;3;5;3;3;5;3;3;3;3;4;3;1;5;1,66667E+14;4;3;1;1968;4;55;3;4;-97;8;8;1;0;0;4;2;2;0;1;11;1;10;1;3;5;7;6,45414E+14;5,75841E+13;4,11192E+14;1;1
